session_id,applicant_id,event_user,event_type,event_datetime
P2F4kSPf5a,YVotX3F2N,,Underwriting Created,2258-11-05 15:58:50.196000+00:00
Oxu16UriGm,kldtjKhwY,,Underwriting Created,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,Underwriting Created,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,Underwriting Created,2259-06-10 14:08:13.752000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 13:58:07.706000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 13:58:07.706000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:01:15.101000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:01:15.101000+00:00
Oxu16UriGm,kldtjKhwY,,Ally entered underwriting,2259-06-11 14:02:12.115000+00:00
Oxu16UriGm,kldtjKhwY,,Ally entered underwriting,2259-06-11 14:02:12.115000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Created,2259-06-11 14:04:17.018000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Created,2259-06-11 14:04:17.018000+00:00
Oxu16UriGm,kldtjKhwY,,ally force disconnect,2259-06-11 14:11:26.522000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:11:30.623000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Created,2259-06-11 14:11:31.505000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:12:31.797000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Created,2259-06-11 14:12:33.069000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Destroyed,2259-06-11 14:14:31.458000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:34:02.052000+00:00
Oxu16UriGm,kldtjKhwY,,Video Session Connection Created,2259-06-11 14:34:02.979000+00:00
Oxu16UriGm,kldtjKhwY,,Applicant entered underwriting,2259-06-11 14:38:52.233000+00:00
